epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,589.439,1.43681,1.2087,1.45335,0.8163,0.78127,0.82466,0.46917,1.59751,0.90472,1.47044,7.18239e-05,7.18239e-05,7.18239e-05
71,597.853,1.32764,1.11893,1.41433,0.79748,0.78472,0.83212,0.47125,1.58868,0.90272,1.46577,7.1517e-05,7.1517e-05,7.1517e-05
72,606.504,1.3073,1.18893,1.44387,0.77979,0.78681,0.82375,0.48186,1.54903,0.88654,1.43512,7.12101e-05,7.12101e-05,7.12101e-05
73,614.02,1.43725,1.29906,1.48574,0.8156,0.75628,0.82272,0.48202,1.54484,0.8731,1.42224,7.09032e-05,7.09032e-05,7.09032e-05
74,622.185,1.34272,1.15139,1.44783,0.80717,0.78423,0.83386,0.48597,1.55036,0.86816,1.41571,7.05963e-05,7.05963e-05,7.05963e-05
75,631.518,1.41672,1.1927,1.41448,0.80717,0.78423,0.83386,0.48597,1.55036,0.86816,1.41571,7.02894e-05,7.02894e-05,7.02894e-05
76,639.049,1.33402,1.14575,1.38452,0.91526,0.75243,0.84523,0.48814,1.55691,0.85641,1.41629,6.99825e-05,6.99825e-05,6.99825e-05
77,648.071,1.3469,1.15819,1.40232,0.89895,0.78841,0.8521,0.49177,1.56124,0.84173,1.41386,6.96756e-05,6.96756e-05,6.96756e-05
78,657.103,1.40463,1.17325,1.44645,0.88083,0.79949,0.85939,0.49709,1.56243,0.83045,1.41156,6.93687e-05,6.93687e-05,6.93687e-05
79,665.282,1.35676,1.10619,1.38169,0.82356,0.80119,0.85746,0.50323,1.55211,0.82947,1.40751,6.90618e-05,6.90618e-05,6.90618e-05
80,674.278,1.3864,1.1771,1.42993,0.86256,0.77905,0.85997,0.51414,1.50854,0.82082,1.38589,6.87549e-05,6.87549e-05,6.87549e-05
81,683.335,1.35283,1.10183,1.37496,0.82773,0.79867,0.85877,0.52668,1.46911,0.81406,1.36582,6.8448e-05,6.8448e-05,6.8448e-05
82,691.524,1.30365,1.0916,1.37729,0.8468,0.81061,0.86468,0.53452,1.45515,0.80918,1.35824,6.81411e-05,6.81411e-05,6.81411e-05
83,700.264,1.23899,1.09356,1.34994,0.838,0.80848,0.86086,0.53379,1.45658,0.80991,1.35931,6.78342e-05,6.78342e-05,6.78342e-05
84,708.512,1.32194,1.12786,1.38384,0.84121,0.79892,0.86151,0.53232,1.48001,0.81831,1.37384,6.75273e-05,6.75273e-05,6.75273e-05
85,715.941,1.33666,1.09242,1.36533,0.77366,0.83635,0.85668,0.52876,1.47721,0.81842,1.37316,6.72204e-05,6.72204e-05,6.72204e-05
86,724.286,1.30516,1.13422,1.3973,0.79462,0.81539,0.85194,0.52978,1.48409,0.81559,1.37169,6.69135e-05,6.69135e-05,6.69135e-05
87,732.71,1.29122,1.09512,1.38644,0.82627,0.80699,0.85724,0.53291,1.4784,0.81283,1.36613,6.66066e-05,6.66066e-05,6.66066e-05
88,740.532,1.34314,1.10299,1.4003,0.81293,0.81732,0.85968,0.53711,1.46466,0.81066,1.35388,6.62997e-05,6.62997e-05,6.62997e-05
89,749.892,1.25865,1.03743,1.36854,0.79791,0.8384,0.86755,0.54303,1.44542,0.80258,1.33513,6.59928e-05,6.59928e-05,6.59928e-05
90,758.965,1.32036,1.14586,1.40563,0.85762,0.79398,0.8718,0.54031,1.44048,0.79412,1.33123,6.56859e-05,6.56859e-05,6.56859e-05
91,766.397,1.24873,1.04285,1.35647,0.85762,0.79398,0.8718,0.54031,1.44048,0.79412,1.33123,6.5379e-05,6.5379e-05,6.5379e-05
92,774.628,1.25301,1.04201,1.36209,0.86158,0.80156,0.87621,0.54121,1.43495,0.79016,1.32968,6.50721e-05,6.50721e-05,6.50721e-05
93,783.205,1.31204,1.11076,1.41971,0.86857,0.81171,0.88232,0.54141,1.42541,0.78251,1.3255,6.47652e-05,6.47652e-05,6.47652e-05
94,791.061,1.20887,1.00283,1.32708,0.87981,0.81008,0.88916,0.5379,1.43017,0.78123,1.32908,6.44583e-05,6.44583e-05,6.44583e-05
